id,program_id,university_id,applicant_gpa_4_0,applicant_lang_test,applicant_lang_score,outcome,year,synthetic
45,5,1,3.93,IELTS,5.8,reject,2023,True
46,5,1,3.84,IELTS,6.9,admit,2024,True
47,5,1,4.0,IELTS,5.7,reject,2024,True
48,5,1,3.84,IELTS,6.5,reject,2025,True
49,5,1,3.58,IELTS,5.7,reject,2024,True
50,5,1,3.16,IELTS,7.5,reject,2025,True
51,5,1,4.0,IELTS,6.6,admit,2025,True
52,5,1,4.0,IELTS,7.7,admit,2023,True
53,5,1,4.0,IELTS,6.9,admit,2025,True
54,5,1,4.0,IELTS,7.8,reject,2025,True
55,5,1,3.72,IELTS,7.7,reject,2025,True
56,5,1,4.0,IELTS,6.4,reject,2024,True
57,5,1,4.0,IELTS,6.2,reject,2023,True
58,6,1,3.78,IELTS,6.9,reject,2025,True
59,6,1,4.0,IELTS,5.6,reject,2025,True
60,6,1,4.0,IELTS,7.4,admit,2023,True
61,6,1,3.27,IELTS,6.8,admit,2023,True
62,6,1,4.0,IELTS,5.7,reject,2023,True
63,6,1,4.0,IELTS,6.5,reject,2023,True
64,6,1,4.0,IELTS,6.1,reject,2023,True
65,6,1,4.0,IELTS,6.9,admit,2024,True
66,6,1,4.0,IELTS,6.0,reject,2025,True
67,6,1,4.0,IELTS,7.1,reject,2025,True
68,6,1,4.0,IELTS,5.5,reject,2023,True
69,6,1,4.0,IELTS,6.0,admit,2024,True
70,6,1,4.0,IELTS,7.7,reject,2024,True
71,6,1,3.97,IELTS,6.9,admit,2023,True
72,7,2,4.0,IELTS,7.4,admit,2024,True
73,7,2,3.41,IELTS,6.0,reject,2024,True
74,7,2,3.51,IELTS,6.8,admit,2025,True
75,7,2,4.0,IELTS,6.2,admit,2025,True
76,7,2,4.0,IELTS,7.1,admit,2023,True
77,7,2,3.34,IELTS,6.9,admit,2023,True
78,7,2,4.0,IELTS,7.8,reject,2024,True
79,7,2,3.68,IELTS,5.8,reject,2025,True
80,8,2,3.75,IELTS,6.0,admit,2025,True
81,8,2,3.58,IELTS,7.7,reject,2023,True
82,8,2,4.0,IELTS,5.9,reject,2025,True
83,8,2,4.0,IELTS,7.7,admit,2023,True
84,8,2,3.75,IELTS,7.8,reject,2024,True
85,8,2,4.0,IELTS,7.5,admit,2023,True
86,8,2,3.19,IELTS,5.8,reject,2024,True
87,8,2,3.96,IELTS,6.7,admit,2025,True
88,8,2,4.0,IELTS,6.1,reject,2024,True
89,8,2,3.52,IELTS,7.9,admit,2023,True
90,9,2,4.0,IELTS,6.5,reject,2023,True
91,9,2,3.81,IELTS,7.7,admit,2023,True
92,9,2,3.92,IELTS,7.9,admit,2025,True
93,9,2,3.59,IELTS,7.5,reject,2023,True
94,9,2,3.67,IELTS,5.8,reject,2025,True
95,9,2,3.83,IELTS,5.5,reject,2023,True
96,9,2,4.0,IELTS,7.2,reject,2023,True
97,9,2,3.69,IELTS,5.7,reject,2024,True
98,9,2,3.56,IELTS,7.1,reject,2025,True
99,9,2,3.79,IELTS,6.3,reject,2024,True
100,9,2,3.56,IELTS,7.2,reject,2025,True
101,9,2,3.12,IELTS,7.2,reject,2023,True
102,10,2,4.0,IELTS,6.3,reject,2025,True
103,10,2,3.77,IELTS,7.5,reject,2024,True
104,10,2,4.0,IELTS,6.7,admit,2025,True
105,10,2,3.23,IELTS,7.9,reject,2023,True
106,10,2,3.81,IELTS,5.7,reject,2023,True
107,10,2,3.74,IELTS,7.9,admit,2024,True
108,10,2,3.74,IELTS,6.1,admit,2025,True
109,10,2,4.0,IELTS,7.0,reject,2024,True
110,10,2,4.0,IELTS,6.5,reject,2025,True
111,10,2,3.78,IELTS,6.5,admit,2023,True
112,10,2,3.51,IELTS,5.5,reject,2025,True
113,10,2,3.89,IELTS,7.5,reject,2024,True
114,11,2,3.81,IELTS,6.9,reject,2025,True
115,11,2,3.44,IELTS,7.2,reject,2023,True
116,11,2,4.0,IELTS,6.3,reject,2024,True
117,11,2,3.63,IELTS,6.8,reject,2023,True
118,11,2,3.69,IELTS,6.6,admit,2024,True
119,11,2,3.49,IELTS,7.6,reject,2023,True
120,11,2,4.0,IELTS,6.7,admit,2024,True
121,11,2,4.0,IELTS,6.2,admit,2023,True
122,12,2,4.0,IELTS,5.8,reject,2023,True
123,12,2,4.0,IELTS,6.5,admit,2024,True
124,12,2,4.0,IELTS,6.5,admit,2024,True
125,12,2,3.59,IELTS,7.9,admit,2023,True
126,12,2,4.0,IELTS,6.5,admit,2024,True
127,12,2,3.95,IELTS,7.7,reject,2023,True
128,12,2,4.0,IELTS,7.4,reject,2023,True
129,12,2,4.0,IELTS,6.2,reject,2024,True
130,13,3,3.61,IELTS,5.6,reject,2023,True
131,13,3,3.77,IELTS,6.6,reject,2025,True
132,13,3,3.72,IELTS,5.6,reject,2025,True
133,13,3,3.55,IELTS,7.7,admit,2024,True
134,13,3,3.94,IELTS,6.1,admit,2025,True
135,13,3,3.85,IELTS,7.9,admit,2025,True
136,13,3,3.74,IELTS,7.5,reject,2025,True
137,13,3,4.0,IELTS,5.6,reject,2025,True
138,13,3,3.78,IELTS,6.7,admit,2025,True
139,13,3,3.59,IELTS,6.4,reject,2023,True
140,13,3,3.91,IELTS,7.3,reject,2025,True
141,13,3,4.0,IELTS,5.6,reject,2023,True
142,14,3,3.81,IELTS,6.5,reject,2025,True
143,14,3,3.3,IELTS,6.1,reject,2024,True
144,14,3,3.49,IELTS,7.6,reject,2025,True
145,14,3,3.98,IELTS,5.6,reject,2023,True
146,14,3,3.42,IELTS,6.4,reject,2024,True
147,14,3,4.0,IELTS,6.7,admit,2024,True
148,14,3,3.88,IELTS,7.1,reject,2023,True
149,14,3,3.97,IELTS,6.8,reject,2023,True
150,14,3,4.0,IELTS,7.5,reject,2024,True
151,14,3,3.21,IELTS,7.0,reject,2025,True
152,14,3,3.99,IELTS,7.6,admit,2024,True
153,15,3,3.85,IELTS,7.2,admit,2024,True
154,15,3,3.4,IELTS,7.6,admit,2025,True
155,15,3,3.68,IELTS,6.2,reject,2024,True
156,15,3,4.0,IELTS,6.9,reject,2025,True
157,15,3,4.0,IELTS,6.7,reject,2023,True
158,15,3,4.0,IELTS,6.7,reject,2024,True
159,15,3,3.89,IELTS,6.1,reject,2024,True
160,15,3,3.7,IELTS,7.2,reject,2023,True
161,15,3,3.49,IELTS,7.4,reject,2023,True
162,16,3,3.78,IELTS,6.2,admit,2025,True
163,16,3,3.8,IELTS,7.4,reject,2023,True
164,16,3,3.55,IELTS,6.0,admit,2024,True
165,16,3,3.77,IELTS,7.4,reject,2025,True
166,16,3,4.0,IELTS,7.6,admit,2024,True
167,16,3,3.88,IELTS,6.8,admit,2025,True
168,16,3,3.9,IELTS,6.9,reject,2025,True
169,16,3,3.47,IELTS,5.8,admit,2024,True
170,16,3,3.4,IELTS,6.7,reject,2025,True
171,16,3,4.0,IELTS,7.7,admit,2025,True
172,16,3,3.79,IELTS,6.5,admit,2023,True
173,17,3,4.0,IELTS,6.9,admit,2025,True
174,17,3,4.0,IELTS,5.8,reject,2023,True
175,17,3,3.65,IELTS,7.4,reject,2024,True
176,17,3,3.77,IELTS,6.2,reject,2024,True
177,17,3,3.88,IELTS,7.0,reject,2025,True
178,17,3,4.0,IELTS,7.1,admit,2025,True
179,17,3,4.0,IELTS,5.7,admit,2024,True
180,17,3,4.0,IELTS,7.2,reject,2025,True
181,17,3,4.0,IELTS,7.3,reject,2023,True
182,17,3,4.0,IELTS,6.1,admit,2023,True
183,17,3,3.52,IELTS,6.0,admit,2025,True
184,17,3,3.71,IELTS,7.1,reject,2025,True
185,17,3,4.0,IELTS,6.3,reject,2023,True
186,18,3,4.0,IELTS,6.6,reject,2024,True
187,18,3,3.79,IELTS,6.8,reject,2025,True
188,18,3,3.25,IELTS,7.0,reject,2023,True
189,18,3,3.93,IELTS,5.7,reject,2023,True
190,18,3,4.0,IELTS,7.0,admit,2023,True
191,18,3,4.0,IELTS,7.4,admit,2023,True
192,18,3,3.64,IELTS,7.1,reject,2025,True
193,18,3,4.0,IELTS,7.5,reject,2024,True
194,18,3,4.0,IELTS,6.4,admit,2023,True
195,18,3,4.0,IELTS,6.5,reject,2023,True
196,19,4,3.98,IELTS,7.9,admit,2023,True
197,19,4,3.86,IELTS,7.7,reject,2025,True
198,19,4,3.84,IELTS,6.0,admit,2024,True
199,19,4,3.43,IELTS,6.0,reject,2024,True
200,19,4,3.43,IELTS,6.6,reject,2025,True
201,19,4,4.0,IELTS,7.5,reject,2024,True
202,19,4,3.94,IELTS,6.9,reject,2025,True
203,19,4,3.96,IELTS,5.8,reject,2023,True
204,20,4,4.0,IELTS,5.9,reject,2024,True
205,20,4,3.57,IELTS,7.6,reject,2025,True
206,20,4,3.83,IELTS,6.6,admit,2025,True
207,20,4,4.0,IELTS,7.7,reject,2024,True
208,20,4,3.65,IELTS,7.4,reject,2024,True
209,20,4,4.0,IELTS,7.6,admit,2024,True
210,20,4,3.68,IELTS,7.6,reject,2023,True
211,20,4,3.65,IELTS,6.8,reject,2023,True
212,20,4,3.86,IELTS,7.4,admit,2024,True
213,20,4,4.0,IELTS,6.1,admit,2024,True
214,20,4,3.13,IELTS,5.6,reject,2023,True
215,20,4,4.0,IELTS,8.0,reject,2023,True
216,20,4,3.67,IELTS,8.0,reject,2025,True
217,20,4,4.0,IELTS,6.3,admit,2024,True
218,21,4,4.0,TOPIK,6,admit,2025,True
219,21,4,3.42,TOPIK,4,admit,2024,True
220,21,4,4.0,TOPIK,5,reject,2024,True
221,21,4,3.45,TOPIK,6,reject,2023,True
222,21,4,3.3,TOPIK,6,reject,2025,True
223,21,4,3.66,TOPIK,5,reject,2023,True
224,21,4,3.68,TOPIK,3,reject,2025,True
225,21,4,3.89,TOPIK,3,reject,2023,True
226,22,4,3.31,IELTS,7.8,admit,2025,True
227,22,4,3.76,IELTS,5.9,reject,2023,True
228,22,4,4.0,IELTS,7.2,admit,2025,True
229,22,4,4.0,IELTS,7.0,admit,2023,True
230,22,4,4.0,IELTS,5.9,reject,2024,True
231,22,4,3.35,IELTS,7.7,reject,2024,True
232,22,4,3.98,IELTS,7.2,admit,2024,True
233,22,4,4.0,IELTS,6.2,reject,2023,True
234,22,4,3.5,IELTS,6.1,reject,2025,True
235,22,4,4.0,IELTS,5.8,reject,2024,True
236,23,4,4.0,IELTS,6.2,reject,2025,True
237,23,4,4.0,IELTS,6.2,reject,2023,True
238,23,4,3.98,IELTS,7.4,reject,2023,True
239,23,4,4.0,IELTS,7.8,reject,2025,True
240,23,4,3.39,IELTS,7.0,reject,2023,True
241,23,4,4.0,IELTS,7.4,reject,2023,True
242,23,4,4.0,IELTS,7.6,reject,2023,True
243,23,4,3.87,IELTS,6.6,reject,2023,True
244,23,4,3.81,IELTS,5.8,reject,2024,True
245,23,4,4.0,IELTS,5.8,reject,2024,True
246,23,4,3.83,IELTS,6.8,reject,2025,True
247,23,4,4.0,IELTS,6.7,reject,2023,True
248,24,4,4.0,IELTS,6.3,admit,2025,True
249,24,4,4.0,IELTS,7.7,reject,2024,True
250,24,4,4.0,IELTS,7.9,reject,2024,True
251,24,4,4.0,IELTS,6.2,admit,2024,True
252,24,4,4.0,IELTS,7.2,reject,2023,True
253,24,4,3.68,IELTS,6.4,reject,2024,True
254,24,4,4.0,IELTS,5.6,reject,2023,True
255,24,4,3.82,IELTS,7.1,reject,2024,True
256,24,4,4.0,IELTS,7.8,admit,2024,True
257,24,4,4.0,IELTS,5.6,reject,2025,True
258,24,4,4.0,IELTS,5.7,reject,2025,True
259,24,4,3.79,IELTS,7.9,reject,2023,True
260,24,4,4.0,IELTS,6.5,reject,2025,True
261,24,4,4.0,IELTS,7.6,reject,2024,True
262,25,5,3.11,IELTS,8.0,admit,2023,True
263,25,5,3.23,IELTS,6.0,admit,2024,True
264,25,5,3.72,IELTS,5.7,reject,2023,True
265,25,5,3.39,IELTS,7.5,admit,2025,True
266,25,5,3.41,IELTS,7.5,admit,2023,True
267,25,5,3.51,IELTS,7.7,admit,2025,True
268,25,5,3.69,IELTS,7.5,admit,2024,True
269,25,5,3.57,IELTS,5.8,reject,2025,True
270,26,5,3.3,IELTS,7.2,admit,2025,True
271,26,5,3.06,IELTS,7.0,admit,2024,True
272,26,5,3.93,IELTS,5.6,reject,2023,True
273,26,5,3.55,IELTS,6.6,admit,2023,True
274,26,5,3.53,IELTS,5.8,reject,2023,True
275,26,5,4.0,IELTS,7.7,admit,2024,True
276,26,5,3.61,IELTS,7.1,admit,2024,True
277,26,5,3.66,IELTS,5.8,reject,2024,True
278,27,5,3.15,IELTS,7.7,admit,2025,True
279,27,5,3.71,IELTS,7.1,admit,2024,True
280,27,5,3.56,IELTS,6.5,admit,2024,True
281,27,5,2.99,IELTS,5.7,reject,2023,True
282,27,5,3.59,IELTS,7.1,reject,2023,True
283,27,5,3.7,IELTS,7.7,admit,2024,True
284,27,5,3.17,IELTS,6.5,reject,2024,True
285,27,5,2.99,IELTS,6.4,admit,2024,True
286,28,5,3.68,TOPIK,3,reject,2025,True
287,28,5,2.92,TOPIK,5,reject,2023,True
288,28,5,3.69,TOPIK,3,admit,2023,True
289,28,5,2.97,TOPIK,6,admit,2023,True
290,28,5,3.25,TOPIK,6,reject,2023,True
291,28,5,3.72,TOPIK,5,admit,2023,True
292,28,5,3.54,TOPIK,4,admit,2024,True
293,28,5,3.48,TOPIK,5,admit,2024,True
294,29,5,3.82,IELTS,6.1,admit,2023,True
295,29,5,4.0,IELTS,7.0,admit,2025,True
296,29,5,3.55,IELTS,7.0,reject,2023,True
297,29,5,3.63,IELTS,7.3,admit,2024,True
298,29,5,3.87,IELTS,6.4,admit,2025,True
299,29,5,3.33,IELTS,5.9,reject,2025,True
300,29,5,3.51,IELTS,5.7,reject,2024,True
301,29,5,3.37,IELTS,6.4,reject,2023,True
302,29,5,3.8,IELTS,7.0,reject,2025,True
303,29,5,3.92,IELTS,7.2,admit,2023,True
304,29,5,4.0,IELTS,6.6,admit,2024,True
305,29,5,3.56,IELTS,5.8,reject,2024,True
306,30,5,4.0,IELTS,7.2,admit,2023,True
307,30,5,3.56,IELTS,8.0,admit,2025,True
308,30,5,3.88,IELTS,6.3,admit,2025,True
309,30,5,3.68,IELTS,5.8,reject,2024,True
310,30,5,3.36,IELTS,5.9,reject,2023,True
311,30,5,3.71,IELTS,7.2,admit,2024,True
312,30,5,4.0,IELTS,7.7,admit,2025,True
313,30,5,3.51,IELTS,6.3,admit,2024,True
314,30,5,3.69,IELTS,7.3,admit,2025,True
315,30,5,2.9,IELTS,5.9,reject,2024,True
316,30,5,4.0,IELTS,7.6,reject,2025,True
317,30,5,3.5,IELTS,6.6,admit,2025,True
318,30,5,3.71,IELTS,6.5,admit,2024,True
319,31,6,3.66,IELTS,6.4,reject,2023,True
320,31,6,4.0,IELTS,7.5,admit,2025,True
321,31,6,3.44,IELTS,5.9,reject,2025,True
322,31,6,3.67,IELTS,5.9,reject,2024,True
323,31,6,3.01,IELTS,6.9,reject,2023,True
324,31,6,3.55,IELTS,7.1,reject,2024,True
325,31,6,3.77,IELTS,5.9,admit,2024,True
326,31,6,3.08,IELTS,7.1,reject,2023,True
327,31,6,3.84,IELTS,6.3,admit,2025,True
328,31,6,3.59,IELTS,6.4,admit,2023,True
329,31,6,3.9,IELTS,7.0,admit,2024,True
330,31,6,2.93,IELTS,7.0,reject,2023,True
331,32,6,2.84,IELTS,7.1,admit,2024,True
332,32,6,3.65,IELTS,6.8,reject,2024,True
333,32,6,4.0,IELTS,6.4,admit,2023,True
334,32,6,3.9,IELTS,7.1,admit,2023,True
335,32,6,3.1,IELTS,6.8,admit,2024,True
336,32,6,3.59,IELTS,7.8,admit,2024,True
337,32,6,3.4,IELTS,7.1,admit,2024,True
338,32,6,3.35,IELTS,5.7,reject,2024,True
339,33,6,3.37,IELTS,7.8,reject,2024,True
340,33,6,2.95,IELTS,5.7,reject,2024,True
341,33,6,3.26,IELTS,7.2,admit,2023,True
342,33,6,3.93,IELTS,7.8,admit,2024,True
343,33,6,3.26,IELTS,5.8,reject,2023,True
344,33,6,3.21,IELTS,8.0,reject,2025,True
345,33,6,3.23,IELTS,6.4,admit,2025,True
346,33,6,3.16,IELTS,7.9,admit,2024,True
347,33,6,4.0,IELTS,5.9,reject,2025,True
348,33,6,4.0,IELTS,6.8,admit,2023,True
349,34,6,3.76,IELTS,7.4,admit,2024,True
350,34,6,3.52,IELTS,5.9,reject,2023,True
351,34,6,3.53,IELTS,5.9,reject,2024,True
352,34,6,2.82,IELTS,6.4,reject,2024,True
353,34,6,3.0,IELTS,7.5,admit,2025,True
354,34,6,3.08,IELTS,6.3,reject,2024,True
355,34,6,3.64,IELTS,7.2,admit,2024,True
356,34,6,3.32,IELTS,6.7,admit,2024,True
357,34,6,3.09,IELTS,5.9,reject,2023,True
358,34,6,3.44,IELTS,5.8,reject,2023,True
359,34,6,3.12,IELTS,7.8,reject,2023,True
360,34,6,3.49,IELTS,7.6,admit,2025,True
361,35,6,3.25,IELTS,7.6,admit,2025,True
362,35,6,3.78,IELTS,7.5,reject,2025,True
363,35,6,3.35,IELTS,6.4,admit,2025,True
364,35,6,3.83,IELTS,6.4,admit,2025,True
365,35,6,3.92,IELTS,7.5,admit,2024,True
366,35,6,3.22,IELTS,7.8,reject,2025,True
367,35,6,3.67,IELTS,7.0,reject,2025,True
368,35,6,3.26,IELTS,6.1,reject,2023,True
369,35,6,4.0,IELTS,6.6,reject,2025,True
370,35,6,3.47,IELTS,6.3,admit,2024,True
371,36,6,3.76,IELTS,5.8,reject,2023,True
372,36,6,3.28,IELTS,6.8,reject,2023,True
373,36,6,3.66,IELTS,6.6,reject,2025,True
374,36,6,3.84,IELTS,6.9,admit,2023,True
375,36,6,4.0,IELTS,5.7,reject,2023,True
376,36,6,4.0,IELTS,7.5,admit,2025,True
377,36,6,3.35,IELTS,7.1,reject,2024,True
378,36,6,3.9,IELTS,7.4,admit,2025,True
379,36,6,3.33,IELTS,7.1,reject,2023,True
380,36,6,4.0,IELTS,7.4,admit,2024,True
381,36,6,3.04,IELTS,5.9,reject,2024,True
382,36,6,3.47,IELTS,8.0,admit,2025,True
383,36,6,3.7,IELTS,7.4,admit,2024,True
384,37,7,3.73,IELTS,6.5,reject,2024,True
385,37,7,3.84,IELTS,6.0,admit,2025,True
386,37,7,4.0,IELTS,7.7,admit,2025,True
387,37,7,3.96,IELTS,6.5,admit,2024,True
388,37,7,3.49,IELTS,6.3,admit,2023,True
389,37,7,3.05,IELTS,6.8,reject,2023,True
390,37,7,3.86,IELTS,6.6,reject,2025,True
391,37,7,3.55,IELTS,5.7,reject,2024,True
392,37,7,3.76,IELTS,6.6,reject,2025,True
393,37,7,3.73,IELTS,5.6,reject,2024,True
394,37,7,3.55,IELTS,7.0,reject,2023,True
395,37,7,4.0,IELTS,5.7,reject,2024,True
396,38,7,3.74,IELTS,7.5,reject,2025,True
397,38,7,4.0,IELTS,7.5,admit,2025,True
398,38,7,4.0,IELTS,6.1,reject,2024,True
399,38,7,3.51,IELTS,7.0,reject,2024,True
400,38,7,4.0,IELTS,6.4,reject,2023,True
401,38,7,4.0,IELTS,6.3,admit,2025,True
402,38,7,4.0,IELTS,5.6,reject,2023,True
403,38,7,3.51,IELTS,6.2,admit,2024,True
404,38,7,4.0,IELTS,6.0,reject,2023,True
405,38,7,4.0,IELTS,5.8,reject,2024,True
406,38,7,3.65,IELTS,5.9,reject,2025,True
407,38,7,4.0,IELTS,8.0,reject,2023,True
408,39,7,3.0,IELTS,6.9,reject,2024,True
409,39,7,4.0,IELTS,7.8,reject,2024,True
410,39,7,3.41,IELTS,6.8,admit,2025,True
411,39,7,3.92,IELTS,6.7,admit,2023,True
412,39,7,3.6,IELTS,6.4,reject,2023,True
413,39,7,4.0,IELTS,5.7,reject,2023,True
414,39,7,4.0,IELTS,7.3,reject,2024,True
415,39,7,3.91,IELTS,7.9,reject,2024,True
416,40,7,3.73,TOPIK,5,admit,2023,True
417,40,7,3.71,TOPIK,4,reject,2025,True
418,40,7,3.68,TOPIK,3,reject,2024,True
419,40,7,4.0,TOPIK,4,admit,2023,True
420,40,7,4.0,TOPIK,5,reject,2024,True
421,40,7,4.0,TOPIK,5,admit,2024,True
422,40,7,4.0,TOPIK,3,reject,2025,True
423,40,7,3.46,TOPIK,4,reject,2023,True
424,40,7,3.6,TOPIK,5,reject,2023,True
425,40,7,4.0,TOPIK,3,admit,2023,True
426,40,7,4.0,TOPIK,5,reject,2023,True
427,41,7,3.99,IELTS,7.7,reject,2023,True
428,41,7,3.99,IELTS,7.9,reject,2023,True
429,41,7,3.73,IELTS,7.2,admit,2024,True
430,41,7,4.0,IELTS,6.7,admit,2023,True
431,41,7,4.0,IELTS,6.3,reject,2024,True
432,41,7,4.0,IELTS,7.9,admit,2024,True
433,41,7,3.88,IELTS,6.1,admit,2024,True
434,41,7,4.0,IELTS,6.1,admit,2024,True
435,41,7,4.0,IELTS,6.5,reject,2025,True
436,41,7,3.81,IELTS,7.5,reject,2023,True
437,41,7,3.82,IELTS,6.7,reject,2024,True
438,42,7,4.0,IELTS,6.7,admit,2024,True
439,42,7,3.14,IELTS,6.0,reject,2025,True
440,42,7,4.0,IELTS,6.2,reject,2023,True
441,42,7,3.92,IELTS,5.5,reject,2025,True
442,42,7,3.8,IELTS,7.7,reject,2024,True
443,42,7,3.81,IELTS,6.9,admit,2023,True
444,42,7,4.0,IELTS,6.2,admit,2024,True
445,42,7,4.0,IELTS,8.0,reject,2025,True
446,42,7,3.77,IELTS,5.8,reject,2024,True
447,42,7,4.0,IELTS,7.8,reject,2025,True
448,43,8,3.14,IELTS,6.6,reject,2023,True
449,43,8,3.97,IELTS,6.3,admit,2023,True
450,43,8,4.0,IELTS,7.3,admit,2024,True
451,43,8,3.03,IELTS,6.7,reject,2024,True
452,43,8,3.43,IELTS,7.5,admit,2023,True
453,43,8,3.73,IELTS,6.3,reject,2023,True
454,43,8,3.68,IELTS,7.1,admit,2024,True
455,43,8,4.0,IELTS,7.4,admit,2023,True
456,43,8,3.32,IELTS,5.6,reject,2023,True
457,43,8,3.11,IELTS,7.6,admit,2023,True
458,43,8,3.1,IELTS,6.1,reject,2023,True
459,43,8,3.5,IELTS,6.3,admit,2023,True
460,44,8,3.49,TOPIK,6,admit,2023,True
461,44,8,4.0,TOPIK,3,admit,2023,True
462,44,8,3.11,TOPIK,4,reject,2023,True
463,44,8,3.11,TOPIK,4,admit,2023,True
464,44,8,3.5,TOPIK,5,admit,2023,True
465,44,8,3.53,TOPIK,5,admit,2025,True
466,44,8,2.9,TOPIK,4,admit,2024,True
467,44,8,3.6,TOPIK,5,reject,2023,True
468,44,8,4.0,TOPIK,4,admit,2024,True
469,45,8,3.0,IELTS,7.8,reject,2024,True
470,45,8,3.51,IELTS,5.8,reject,2024,True
471,45,8,3.73,IELTS,6.4,reject,2025,True
472,45,8,3.24,IELTS,6.2,admit,2023,True
473,45,8,4.0,IELTS,7.1,admit,2025,True
474,45,8,3.83,IELTS,6.0,admit,2023,True
475,45,8,3.39,IELTS,7.0,reject,2025,True
476,45,8,3.27,IELTS,5.6,reject,2025,True
477,45,8,3.38,IELTS,6.5,reject,2025,True
478,45,8,3.36,IELTS,7.2,admit,2023,True
479,46,8,2.77,IELTS,7.7,reject,2025,True
480,46,8,3.9,IELTS,7.4,admit,2024,True
481,46,8,2.98,IELTS,5.7,reject,2023,True
482,46,8,2.84,IELTS,7.3,reject,2025,True
483,46,8,3.64,IELTS,7.7,admit,2025,True
484,46,8,3.34,IELTS,8.0,admit,2024,True
485,46,8,3.68,IELTS,7.7,admit,2025,True
486,46,8,3.99,IELTS,5.5,reject,2025,True
487,46,8,3.73,IELTS,6.6,admit,2023,True
488,47,8,3.51,IELTS,7.7,admit,2023,True
489,47,8,3.43,IELTS,5.8,reject,2024,True
490,47,8,3.7,IELTS,7.1,reject,2025,True
491,47,8,3.6,IELTS,6.9,reject,2025,True
492,47,8,3.03,IELTS,7.0,reject,2024,True
493,47,8,3.85,IELTS,5.7,reject,2025,True
494,47,8,3.28,IELTS,8.0,admit,2025,True
495,47,8,3.99,IELTS,6.6,admit,2024,True
496,47,8,3.66,IELTS,6.3,reject,2025,True
497,47,8,3.63,IELTS,6.1,reject,2024,True
498,47,8,3.98,IELTS,6.3,admit,2023,True
499,48,8,3.72,IELTS,7.1,reject,2024,True
500,48,8,3.12,IELTS,7.0,admit,2025,True
501,48,8,3.27,IELTS,8.0,admit,2023,True
502,48,8,3.7,IELTS,6.9,admit,2023,True
503,48,8,3.86,IELTS,7.4,admit,2023,True
504,48,8,3.03,IELTS,7.7,admit,2024,True
505,48,8,3.32,IELTS,7.8,admit,2023,True
506,48,8,3.59,IELTS,7.8,admit,2023,True
507,48,8,3.83,IELTS,6.8,admit,2025,True
508,48,8,3.9,IELTS,7.3,admit,2023,True
509,48,8,3.54,IELTS,5.8,reject,2023,True
510,48,8,3.69,IELTS,5.6,reject,2024,True
511,48,8,3.59,IELTS,7.5,reject,2023,True
512,49,9,3.1,IELTS,5.6,reject,2025,True
513,49,9,3.55,IELTS,7.1,admit,2024,True
514,49,9,2.49,IELTS,6.6,reject,2024,True
515,49,9,3.07,IELTS,7.2,reject,2023,True
516,49,9,3.82,IELTS,7.7,admit,2023,True
